+-----------------------------------------------------------------------------------------+
| Cumulative Gameplay Statistics:                                                         |
|-----------------------------------------------------------------------------------------|
| # of Games | Time     | Mean Score     | Rate of Highest Tile                           |
|------------|----------|----------------|------------------------------------------------|
|        100 |    78.51 |       15324.68 |  2048:  20.00%,  1024:  47.00%,   512:  28.00% |
|        200 |   344.84 |       15813.62 |  2048:  20.00%,  1024:  51.50%,   512:  22.50% |
|        300 |   578.52 |       15619.55 |  2048:  17.67%,  1024:  53.00%,   512:  25.00% |
|        400 |   810.48 |       15609.61 |  2048:  18.25%,  1024:  52.00%,   512:  25.50% |
|        500 |   882.47 |       15437.46 |  2048:  16.80%,  1024:  54.00%,   512:  25.20% |
|        600 |  1136.53 |       15445.07 |  2048:  17.00%,  1024:  53.17%,   512:  25.83% |
|        700 |  1391.71 |       15213.09 |  2048:  16.29%,  1024:  52.43%,   512:  27.00% |
|        800 |  1460.06 |       15263.72 |  2048:  16.12%,  1024:  53.25%,   512:  26.75% |
|        900 |  1673.70 |       15272.36 |  2048:  16.11%,  1024:  53.44%,   512:  26.67% |
|       1000 |  1898.24 |       15196.13 |  2048:  15.50%,  1024:  54.10%,   512:  26.60% |
|       1100 |  1977.11 |       15251.00 |  2048:  15.55%,  1024:  54.09%,   512:  26.73% |
|       1200 |  2212.09 |       15230.67 |  4096:   0.08%,  2048:  15.42%,  1024:  54.17% |
|       1300 |  2487.67 |       15285.47 |  4096:   0.08%,  2048:  15.54%,  1024:  54.62% |
|       1400 |  2709.23 |       15286.67 |  4096:   0.07%,  2048:  15.71%,  1024:  54.43% |
|       1500 |  2790.18 |       15243.83 |  4096:   0.07%,  2048:  15.60%,  1024:  54.40% |
|       1600 |  3044.02 |       15260.45 |  4096:   0.06%,  2048:  15.62%,  1024:  54.31% |
|       1700 |  3118.48 |       15267.60 |  4096:   0.06%,  2048:  15.41%,  1024:  54.88% |
|       1800 |  3361.58 |       15264.10 |  4096:   0.06%,  2048:  15.33%,  1024:  54.83% |
|       1900 |  3619.28 |       15225.50 |  4096:   0.05%,  2048:  15.21%,  1024:  55.05% |
|       2000 |  3869.30 |       15293.38 |  4096:   0.05%,  2048:  15.35%,  1024:  55.55% |
|       2100 |  3952.73 |       15348.43 |  4096:   0.05%,  2048:  15.33%,  1024:  55.95% |
|       2200 |  4193.72 |       15332.26 |  4096:   0.05%,  2048:  15.18%,  1024:  56.18% |
|       2300 |  4268.99 |       15340.89 |  4096:   0.04%,  2048:  15.09%,  1024:  56.43% |
|       2400 |  4542.37 |       15416.46 |  4096:   0.04%,  2048:  15.33%,  1024:  56.50% |
|       2500 |  4778.27 |       15450.15 |  4096:   0.04%,  2048:  15.44%,  1024:  56.44% |
|       2600 |  5044.45 |       15440.53 |  4096:   0.04%,  2048:  15.27%,  1024:  56.77% |
|       2700 |  5296.70 |       15439.64 |  4096:   0.07%,  2048:  15.19%,  1024:  56.70% |
|       2800 |  5376.52 |       15440.13 |  4096:   0.07%,  2048:  15.21%,  1024:  56.61% |
|       2900 |  5656.95 |       15450.34 |  4096:   0.07%,  2048:  15.28%,  1024:  56.48% |
|       3000 |  5884.24 |       15461.49 |  4096:   0.07%,  2048:  15.40%,  1024:  56.37% |
|       3100 |  5963.40 |       15484.56 |  4096:   0.10%,  2048:  15.45%,  1024:  56.23% |
|       3200 |  6296.08 |       15514.69 |  4096:   0.09%,  2048:  15.62%,  1024:  56.00% |
|       3300 |  6535.03 |       15491.71 |  4096:   0.12%,  2048:  15.58%,  1024:  55.88% |
|       3400 |  6612.86 |       15481.25 |  4096:   0.15%,  2048:  15.59%,  1024:  55.56% |
|       3500 |  6915.85 |       15477.83 |  4096:   0.14%,  2048:  15.57%,  1024:  55.51% |
|       3600 |  7177.03 |       15499.43 |  4096:   0.14%,  2048:  15.69%,  1024:  55.42% |
|       3700 |  7442.55 |       15489.71 |  4096:   0.14%,  2048:  15.57%,  1024:  55.54% |
|       3800 |  7532.81 |       15549.96 |  4096:   0.13%,  2048:  15.89%,  1024:  55.53% |
|       3900 |  7781.69 |       15569.94 |  4096:   0.13%,  2048:  16.05%,  1024:  55.44% |
|       4000 |  8112.88 |       15560.53 |  4096:   0.12%,  2048:  16.10%,  1024:  55.35% |
|       4100 |  8409.56 |       15547.40 |  4096:   0.12%,  2048:  16.15%,  1024:  55.20% |
|       4200 |  8490.60 |       15563.59 |  4096:   0.12%,  2048:  16.26%,  1024:  55.19% |
|       4300 |  8763.89 |       15551.99 |  4096:   0.12%,  2048:  16.14%,  1024:  55.23% |
