+----------------------------------------------------------------------------+
| Statistics from last 100 episodes:                                         |
|----------------------------------------------------------------------------|
| Episodes   | Time       | Mean Score     | Mean Max Tile  | Max Tile       |
|------------|------------|----------------|----------------|----------------|
|        100 |     127.71 |       12470.36 |         840.96 |           2048 |
|        200 |     134.65 |       13150.42 |         952.32 |           4096 |
|        300 |     170.10 |       13471.36 |         979.20 |           2048 |
|        400 |     155.03 |       13439.69 |         913.92 |           2048 |
|        500 |     139.52 |       13504.05 |         960.00 |           2048 |
|        600 |     146.11 |       13666.75 |         983.04 |           2048 |
|        700 |     134.98 |       13547.58 |         862.72 |           2048 |
|        800 |     148.68 |       13518.41 |         885.76 |           2048 |
|        900 |     129.95 |       13391.86 |         878.08 |           2048 |
|       1000 |     140.02 |       13417.06 |         952.32 |           2048 |
Model saved to td_agent_episode_ft1000.pkl
|       1100 |     229.88 |       13365.61 |         849.92 |           2048 |
|       1200 |     140.99 |       13372.94 |         906.24 |           2048 |
|       1300 |     147.44 |       13337.07 |         904.96 |           2048 |
|       1400 |     138.97 |       13331.15 |         906.24 |           2048 |
|       1500 |     140.50 |       13347.34 |         960.00 |           2048 |
|       1600 |     135.92 |       13323.12 |         862.72 |           2048 |
|       1700 |     143.50 |       13365.30 |         961.28 |           2048 |
|       1800 |     155.60 |       13406.88 |         968.96 |           4096 |
|       1900 |     138.99 |       13399.47 |         880.64 |           2048 |
|       2000 |     139.17 |       13397.06 |         888.32 |           2048 |
Model saved to td_agent_episode_ft2000.pkl
|       2100 |     251.84 |       13467.81 |        1026.56 |           2048 |
|       2200 |     145.89 |       13494.69 |         977.92 |           2048 |
|       2300 |     129.98 |       13431.22 |         814.08 |           2048 |
|       2400 |     153.83 |       13499.36 |        1013.76 |           2048 |
|       2500 |     140.34 |       13488.62 |         866.56 |           2048 |
|       2600 |     156.70 |       13497.55 |         919.04 |           2048 |
|       2700 |     142.20 |       13500.91 |         924.16 |           2048 |
|       2800 |     146.83 |       13522.51 |         960.00 |           2048 |
